wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
Ebv,Ebv,0.72,0.03,D,0.9,0.03,D,0.31,0.03,D,0.85,0.03,D,0.36,0.03,D,0.59,0.03,D,0.33,0.03,D,0.48,0.03,D,0.52,0.03,D,0.35,0.03,D,0.58,0.03,D,0.73,0.03,D,1.07,0.03,D,0.34,0.03,D,1.39,0.03,D,1.48,0.03,D,0.31,0.03,D,1.27,0.03,D,0.72,0.03,D,1.2,0.03,D,1.99,0.03,D,3.31,0.03,D,1.11,0.03,D,0.53,0.03,D,0.67,0.03,D
NH,NH,21.45,,S,21.06,0.1,S,20.82,0.09,D,21.39,0.3,D,20.57,0.1,S,20.73,0.06,D,21.05,0.08,D,21.16,,S,21.78,0.1,D,21.17,0.1,D,21.27,0.3,D,21.19,,S,21.8,0.05,D,21.02,,S,21.63,0.1,S,21.67,0.1,S,21.07,,S,21.67,0.1,S,21.41,0.1,S,21.52,0.1,S,21.67,0.1,S,21.68,0.1,S,21.35,0.05,D,21.3,0.15,D,21.51,,S
NH2,NH2,20.99,0.13,S,21.28,0.13,S,20.6,0.12,D,21.09,0.19,D,20.12,0.13,S,20.92,0.04,D,20.53,0.12,D,20.27,0.13,S,19.56,0.13,S,20.92,0.06,D,20.87,0.14,D,21.2,0.13,S,21.41,0.13,D,20.48,0.13,S,21.25,0.13,S,,,R,,,R,,,R,20.54,0.13,S,21.11,0.13,S,21.3,0.13,S,21.38,,S,21.3,0.13,S,20.86,0.04,S,20.35,0.13,S
fH2,fH2,0.41,,S,0.77,0.09,S,0.55,0.12,D,0.5,0.28,D,0.41,0.13,S,0.76,0.04,D,0.38,0.11,D,0.2,,S,0.01,0.01,S,0.53,0.09,D,0.44,0.25,D,0.67,,S,0.45,0.1,D,0.36,,S,0.45,0.13,S,,,R,,,R,,,R,0.21,0.09,S,0.44,0.13,S,0.46,0.13,S,0.5,,S,0.64,0.1,S,0.42,0.11,S,0.12,,S
NCN,NCN,12.53,0.03,D,13.6,0.09,D,12.17,0.01,D,12.66,0.03,D,12.57,0.02,D,12.87,0.01,D,11.44,0.16,D,13.48,0.05,D,11.67,,U,11.85,0.09,D,11.93,,U,12.9,0.09,D,13.34,0.05,D,11.92,,L,12.76,0.04,D,12.26,0.08,D,12.58,0.02,D,12.57,0.02,D,,,R,12.33,0.09,D,13.48,0.15,D,13.95,0.15,D,13.74,0.04,D,12.89,0.01,D,12.36,0.04,D
NCH,NCH,13.61,0.04,D,13.88,,U,13.33,0.03,D,13.73,0.03,D,12.81,0.02,D,13.57,0.02,D,13.12,0.09,D,12.95,0.05,D,12.3,0.13,D,12.81,0.02,D,13.99,,L,13.81,0.04,D,14,0.02,D,13.14,0.02,D,13.85,0.02,D,13.72,0.04,D,13.26,0.02,D,13.67,0.03,D,13.2,0.02,D,13.72,0.05,D,13.9,0.1,D,13.97,,U,13.9,0.04,D,13.48,0.03,D,13.02,0.05,D
NC2,NC2,12.8,,U,14.03,0.1,D,13.46,0.12,D,13.58,0.04,D,,,R,13.49,0.05,D,12.9,0.13,D,,,R,12.85,,U,12.85,,U,13.03,,U,13.59,0.07,D,14.11,0.04,D,,,R,13.64,0.1,D,,,R,13.42,0.1,D,12.63,,U,,,R,,,R,13.99,0.07,D,14.43,0.05,D,14.31,0.04,D,13.69,0.05,D,13.32,0.09,D
4259,4259,,,R,,,R,4.4,0.6,D,8.5,0.9,D,14.5,0.8,D,17.1,1.3,D,2.3,0.5,D,,,R,3,0.9,D,1.9,0.6,D,7.2,,L,,,R,15.5,1.9,C,7.2,,L,7,1.7,D,17.9,,L,,,R,,,R,6.1,1.2,D,5.6,1.8,D,22.2,3,D,,,R,20.8,1.5,C,5,0.8,D,,,R
4363.83,4363,1.6,,L,19,3.6,D,2.4,0.2,C,4.3,0.5,D,2.1,0.2,D,2.9,0.4,D,0.7,,L,2.7,,L,0.7,,L,1.6,,L,1.7,,L,5.3,,L,8.7,0.8,D,2.4,,L,2,0.6,D,8.7,,L,1.6,0.3,D,1.1,,L,,,R,5.1,1,D,5.3,1.1,D,36,,L,14.9,0.3,D,6.4,0.2,D,2.9,,L
4371.6,4371,5,1,D,,,R,,,R,2.6,,L,,,R,5.9,1.1,D,2.3,0.5,D,6.3,,L,4.4,,L,,,R,,,R,,,R,32.6,1.9,C,7.8,,L,6.5,1.5,D,,,R,,,R,10,1.1,D,,,R,,,R,9.2,,L,59.6,,L,,,R,2.9,0.7,D,,,R
4429.33,4429,1918.8,71.4,C,,,R,432.5,26.5,C,1148.5,24.8,D,322.3,,L,,,R,632.9,29.7,D,154.8,,L,804.1,28.7,D,800.8,33.1,D,2179.6,54.5,D,2378,99.9,C,1831.4,87.1,C,275,,L,2458.4,37.6,C,3083.4,99.9,D,459.6,41,C,3462.5,99.9,D,2579.4,39.6,C,2859.2,57.9,C,3698.7,99.9,D,2061.5,99.9,D,1421.1,95.4,C,912.4,25.6,D,3122.8,79.6,C
4494.53,4494,,,R,,,R,2.6,,L,4.9,,L,,,R,5.9,,L,14.2,,L,,,R,3.7,,L,4.8,,L,12.8,1.7,D,,,R,6.4,,L,9.1,,L,11.5,2.7,D,20.5,,L,4.1,1.2,D,23.4,1.3,C,10.6,1.9,D,21.8,3.2,D,27.4,5.8,D,76.7,,L,7.8,1.5,D,2.4,,L,,,R
4501.51,4501,,,R,,,R,20,1.3,D,53.3,1.5,D,,,R,21.8,2,D,28.1,1.3,D,,,R,13.2,1.9,D,12.4,1.8,D,87.8,2.1,D,,,R,33.9,2.6,D,52.2,3,D,97.4,4.6,D,117.1,9.6,D,35,2.3,D,180.4,1.8,C,81.6,1.5,D,117.8,3.4,D,103.2,5.3,D,75.5,,L,49.4,2.1,D,65.5,0.9,D,,,R
